;ID;LOCATION;NUMBER
0;L2OKFPZ19T;UC1X4_AKRI3_INQ3Y2;1399
1;EAK197S6FN;9ZWB4_ZKZOTH_L205AN;4941
2;7ELHJ4SM7F;0XXE_RHN;3886
3;DT41GVI3YZ;ZCJH_YJ5;1173
4;LEO7NUA77F;MYBRGJ_X3UYP;2476
5;G52H8OU1MO;9ZWB4_ZKZOTH_L205AN;3558
6;8VDUSY917Q;MYBRGJ_X3UYP;2209
7;YCZUO69J6Y;GJHXPQ_JT_Q128;2177
8;8I7LS3CALB;XVYX_MB_EW3FWK;3546
9;5GJXXMD7FM;0XXE_RHN;3080
10;BEDRTCRNTT;9ZWB4_ZKZOTH_L205AN;2730
11;C6ZWOK7QTW;UC1X4_AKRI3_INQ3Y2;2645
12;QM3HEPTJPL;0XXE_RHN;1760
13;3GLXSUPXBH;MYBRGJ_X3UYP;1441
14;UGIGUIMW4T;7RM2_2XX377_6JI;3078
15;YZNJJS5N7H;9ZWB4_ZKZOTH_L205AN;1000
16;PQN611BQLZ;UC1X4_AKRI3_INQ3Y2;4346
17;H45VN0PTM2;0XXE_RHN;1008
18;D03JVAD78V;UC1X4_AKRI3_INQ3Y2;591
19;0CD9J3D96L;QYE547_8J4_5QXMDY;741
20;OJSFVF9AQQ;7RM2_2XX377_6JI;2489
21;Q0WW9DTT4G;MYBRGJ_X3UYP;2520
22;QY1I0HH8SX;MYBRGJ_X3UYP;4645
23;3L7BY00SI6;ZCJH_YJ5;3703
24;ER4LHMF5FC;GJHXPQ_JT_Q128;4739
25;2812P02VW8;9ZWB4_ZKZOTH_L205AN;4684
26;WBWN1JOTVI;UC1X4_AKRI3_INQ3Y2;2417
27;VUXOGPBOTA;9ZWB4_ZKZOTH_L205AN;2213
28;E9FIRR28IZ;QYE547_8J4_5QXMDY;617
29;N901RCRJ10;UC1X4_AKRI3_INQ3Y2;3978
30;KXDFXBILEF;9ZWB4_ZKZOTH_L205AN;2732
31;0YCPPAX116;0XXE_RHN;4518
32;WQPKJ3SASJ;GJHXPQ_JT_Q128;1296
